id,server_id,manufacturer_serial_number,manufacturer_name,created_at,name,image_url,evm_nft_address,evm_nft_token_id,evm_nft_account_address,gpu_type,status
de528132-c4ca-4637-ae6e-b87700dd4a2b,9be85823-3832-4c18-b870-b0cb9c07c13c,602-V530-37ST2503000669,NVIDIA,2025-07-30 19:05:14.959448+00,rosewood-spodumene-aureole,,0x380afbd524b14C4F571dD8Cf70Aac1Ba76eB1f2f,,,5090,ACTIVE
5402c372-22fd-463c-b9e9-b4f570e77946,27e2e03a-2a43-448f-a422-9339e932dca7,602-V530-37ST2503001008,NVIDIA,2025-07-15 19:30:45.182874+00,sassafras-amber-burnished,,,,,5090,ACTIVE
7f4215c9-8bd5-484d-9b80-554d084c86eb,88501fe5-2f62-410c-aa05-5519caec26d1,602-V530-37ST2503001011,NVIDIA,2025-07-29 23:04:36.325283+00,butternut-mica-starshine,,0x380afbd524b14C4F571dD8Cf70Aac1Ba76eB1f2f,6,,5090,ACTIVE
06ae104b-d07a-4fe7-873b-b7a6a3897e72,9be85823-3832-4c18-b870-b0cb9c07c13c,602-V530-37ST2503000670,NVIDIA,2025-07-30 19:05:41.031293+00,silkwood-garnet-blink,,0x380afbd524b14C4F571dD8Cf70Aac1Ba76eB1f2f,,,5090,ACTIVE
556784da-efd2-461d-8bbd-d4ca399f24a1,88501fe5-2f62-410c-aa05-5519caec26d1,602-V530-37ST2503001009,NVIDIA,2025-07-29 23:03:52.193373+00,ash-jade-coruscation,,0x380afbd524b14C4F571dD8Cf70Aac1Ba76eB1f2f,21,,5090,ACTIVE
0391e38a-7536-40ef-b6f8-7f3a5e85d80f,b40e89b3-6f23-448a-9cb5-3f84dce836f8,GPU-0-b40e89b3-6f23-448a-9cb5-3f84dce836f8,NVIDIA,2024-12-02 14:35:40.154299+00,fig-prehnite-luminous,,,,,4090,ONBOARDING
046c1226-29e1-42d4-833b-75be0eae23a7,87183e98-faca-44d4-8a74-d1f3cf262b79,GPU-5-87183e98-faca-44d4-8a74-d1f3cf262b79,NVIDIA,2024-12-02 14:35:38.231859+00,orange-cordierite-iridescence,,,,,4090,ONBOARDING
1b2703d1-093e-471b-8c72-bf0fa0c5e112,8dd8d042-4854-490d-ba30-280f78800c59,GPU-4-8dd8d042-4854-490d-ba30-280f78800c59,NVIDIA,2024-12-02 14:35:33.254653+00,pomegranate-aventurine-flare,,,,,4090,ONBOARDING
680f6e90-7478-46f4-8bd4-712f39b7be02,eb20a137-4cc6-4d89-b11d-487e5b9bba54,GPU-4-eb20a137-4cc6-4d89-b11d-487e5b9bba54,NVIDIA,2024-12-02 14:35:45.488218+00,peach-barite-aurora,,,,,4090,ONBOARDING
fea3f017-c53b-4db3-807a-a7513f17cf9e,eb20a137-4cc6-4d89-b11d-487e5b9bba54,GPU-1-eb20a137-4cc6-4d89-b11d-487e5b9bba54,NVIDIA,2024-12-02 14:35:44.280683+00,hazel-palladium-gleaming,,,,,4090,ONBOARDING
574baa14-bc83-4886-96a8-797a5394d77a,eb20a137-4cc6-4d89-b11d-487e5b9bba54,GPU-7-eb20a137-4cc6-4d89-b11d-487e5b9bba54,NVIDIA,2024-12-02 14:35:46.616832+00,mulberry-scapolite-starshine,,,,,4090,ONBOARDING
b3c71d31-24ca-4b64-9ed7-7f3ad96f6ad0,bd143f3c-0c40-4177-99eb-48361c5cc931,GPU-2-bd143f3c-0c40-4177-99eb-48361c5cc931,NVIDIA,2024-12-02 14:35:48.579041+00,lime-prehnite-flareup,,,,,4090,ONBOARDING
f9df13fa-d494-4d96-9084-0d57c5771774,bd143f3c-0c40-4177-99eb-48361c5cc931,GPU-5-bd143f3c-0c40-4177-99eb-48361c5cc931,NVIDIA,2024-12-02 14:35:49.738913+00,breadfruit-pearl-skybeam,,,,,4090,ONBOARDING
39171487-9739-4a28-8b15-7c5044eb650c,ed3bd41d-7ff6-4b2a-8c81-febcfef055bc,GPU-0-ed3bd41d-7ff6-4b2a-8c81-febcfef055bc,NVIDIA,2024-12-02 14:35:51.571209+00,locust-apatite-dayglow,,,,,4090,ONBOARDING
58f79eee-889b-4daa-ba97-a18662fcec70,87183e98-faca-44d4-8a74-d1f3cf262b79,GPU-2-87183e98-faca-44d4-8a74-d1f3cf262b79,NVIDIA,2024-12-02 14:35:36.786735+00,ironwood-moonstone-dawnlight,,,,,4090,ONBOARDING
